PD ref,Ward,Polling District,County Electoral Division,Parish/ ward,Polling place,Postal address,Latitude,Longitude
AAA,Ashdon,Ashdon,Thaxted,Ashdon,Ashdon Village Hall,"Radwinter Road, Ashdon, Saffron Walden CB10 2ET",52.054882,0.312920
AAB,Ashdon,Hadstock,Thaxted,Ashdon,Hadstock Village Hall,"Church Lane, Hadstock  CB21 4PH",52.07904,0.273740
AAC,Ashdon,Little Walden,Saffron Walden,Saffron Walden Little Walden ward,Little Walden Village Hall,"Little Walden, Saffron Walden,  CB10 1XA",52.04951,0.253280
AAD,Ashdon,Sewards End,Thaxted,Sewards End,Sewards End Village Hall,"Radwinter Road, Sewards End, Saffron Walden CB10 2LR",52.02159,0.288310
ABA,Broad Oak & the Hallingburys,Great Canfield,Dunmow,Great Canfield,Great Canfield Village Hall,"Marsh Farm Lane, Great Canfield, Dunmow CM6 1JX",51.839462,0.300684
ABB,Broad Oak & the Hallingburys,Great Hallingbury,Dunmow,Great Hallingbury,Great Hallingbury Parish Hall,"Church Road, Great Hallingbury, Bishop’s Stortford CM22 7TY",51.855661,0.196120
ABC,Broad Oak & the Hallingburys,Hatfield Broad Oak,Dunmow,Hatfield Broad Oak,Hatfield Broad Oak Village Hall,"Cage End, Hatfield Broad Oak, Bishop’s Stortford CM22 7HT",51.82364,0.241930
ABD,Broad Oak & the Hallingburys,Bush End,Dunmow,Hatfield Broad Oak Bush End Ward,The Ancient Foresters,"Bush End, Takeley, Bishop’s Stortford CM22 6NN",51.8494,0.235610
ABE,Broad Oak & the Hallingburys,Little Hallingbury,Dunmow,Little Hallingbury,Little Hallingbury Village Hall,"Lower Road, Little Hallingbury, Bishop’s Stortford CM22 7RD",51.83416,0.179890
ACA,Clavering,Arkesden,Saffron Walden,Arkesden,Arkesden Village hall,"Wenden Road, Arkesden, Saffron Walden CB11 4HB",51.9895468,0.157343
ACB,Clavering,Clavering,Stansted,Clavering,Clavering Village Hall,"Hill Green, Clavering, Saffron Walden CB11 4QS",51.97073,0.154580
ACC,Clavering,Langley,Saffron Walden,Langley,Langley Community Centre," Langley Upper Green, Saffron Walden CB11 4RU",51.99662,0.106130
ACD,Clavering,Wicken Bonhunt,Stansted,Wicken Bonhunt (parish meeting only),St Margaret’s Church,"Wicken Bonhunt, Saffron Walden CB11 3UG",51.97788,0.181540
ADA,Debden & Wimbish,Debden,Thaxted,Debden,Debden Memorial Hall,"Mill Road, Debden, Saffron Walden CB11 3LB",51.97917,0.263390
ADB,Debden & Wimbish,Wimbish (Carver  Barracks)  ,Thaxted,Wimbish,"The Community Hall, Carver Barracks","Off Elder Street, Wimbish, Saffron Walden CB10 2YB",51.987654,0.286339
ADC,Debden & Wimbish,Wimbish (Village),Thaxted,Wimbish,Wimbish Village Hall,"Tye Green, Wimbish, Saffron Walden CB10 2XE",51.994195,0.316605
AEA,Elsenham & Henham,Elsenham,Stansted,Elsenham,Elsenham Memorial Hall,"Station Road, Elsenham, Bishop’s Stortford CM22 6LA",51.915115,0.227502
AEB,Elsenham & Henham,Henham,Stansted,Henham,Henham Village Hall,"High Street, Henham, Bishop’s Stortford CM22 6AS",51.93336,0.251760
AFA,Felsted & Stebbing,Felsted East,Thaxted,Felsted,Crix Green Mission Hall,"Crix Green, Felsted, Dunmow CM6 3JT",51.857639,0.491476
AFB,Felsted & Stebbing,Felsted West,Thaxted,Felsted,Felsted Memorial Hall,"Braintree Road, Felsted, Dunmow CM6 3DS",51.85726,0.440600
AFC,Felsted & Stebbing,Stebbing,Thaxted,Stebbing,Stebbing Village Hall,"Mill Lane, Stebbing, Dunmow CM6 3SL",51.89089,0.413840
AGA,Flitch Green & Little Dunmow,Flitch Green,Thaxted,Flitch Green,Flitch Green Community Hall,"Tanton Road, Flitch Green, Dunmow CM6 3GG",51.858252,0.417747
AGB,Flitch Green & Little Dunmow,Little Dunmow,Thaxted,Little Dunmow,"Community Meeting Room, Recreation Ground","Off Brook Street, Little Dunmow, Dunmow CM6 3HU",51.86212,0.404330
AHA,Great Dunmow North,Great Dunmow North-East,Dunmow,Great Dunmow North Ward,"The Dourdan Pavilion, Recreation Ground","Off The Causeway, Great Dunmow CM6 2AA",51.87789,0.362850
AHB,Great Dunmow North,Great Dunmow North-West,Dunmow,Great Dunmow North Ward,Great Dunmow Primary School,"Walnut Walk, Woodlands Park Drive, Great Dumow CM6 1ZR",51.87332,0.349700
AJA,Great Dunmow South & Barnston,Barnston,Dunmow,Barnston,Barnston Village Hall,"Chelmsford Road, Barnston, Dunmow CM6 1LR",51.853812,0.385580
AJB,Great Dunmow South & Barnston,Great Dunmow South-East,Dunmow,Great Dunmow South Ward,United Reformed Church,"New Street, Great Dunmow CM6 1BH",51.87006,0.363690
AJC,Great Dunmow South & Barnston,Great Dunmow South-West,Dunmow,Great Dunmow South Ward,ET Foakes Memorial Hall,"Stortford Road, Great Dunmow CM6 1DA",51.8732,0.359700
AKA,Hatfield Heath,Hatfield Heath,Dunmow,Hatfield Heath,Hatfield Heath Village Hall,"The Heath, Hatfield Heath, Bishop’s Stortford CM22 7ER",51.81391,0.206460
AKB,Hatfield Heath,White Roding,Dunmow,White Roding,White Roding Sports and Social Club,"Marks Hall Lane, White Roding, Dunmow CM6 1RS",51.79947,0.265670
ALA,High Easter & the Rodings,Aythorpe Roding,Dunmow,Aythorpe Roding,Aythorpe Roding Village Hall,"Aythorpe Roding, Dunmow CM6 1PS",51.811161,0.307237
ALB,High Easter & the Rodings,High Easter,Dunmow,High Easter,High Easter Village Hall,"The Street, High Easter, Chelmsford CM1 4QR",51.80805,0.358290
ALC,High Easter & the Rodings,High Roding,Dunmow,High Roding,WI Hall,"The Street, High Roding, Dunmow CM6 1NW",51.83295,0.326560
ALD,High Easter & the Rodings,Leaden Roding,Dunmow,Leaden Roding,Leaden Roding Village Hall,"Stortford Road, Leaden Roding, Dunmow CM6 1QX",51.7960287,0.307774
ALE,High Easter & the Rodings,Margaret Roding,Dunmow,Margaret Roding,The Reid Rooms,"Marks Hall Lane, Margaret Roding, Dunmow CM6 1QT",51.77768,0.318160
AMA,"Littlebury, Chesterford & Wenden Lofts",Chrishall,Saffron Walden,Chrishall,Chrishall Village Hall,"Palmers Lane, Chrishall, Royston SG8 8QE",52.03441,0.105380
AMB1,"Littlebury, Chesterford & Wenden Lofts",Duddenhoe End & Wenden Lofts (part in Elmdon parish),Saffron Walden,Elmdon and Wenden Lofts Duddenhoe End Ward,Duddenhoe End Village Hall,"Duddenhoe End, Saffron Walden  CB11 4UU",52.009512,0.124250
AMB2,"Littlebury, Chesterford & Wenden Lofts",Duddenhoe End & Wenden Lofts (part in Elmdon parish),Saffron Walden,Elmdon and Wenden Lofts Wenden Lofts ward,Duddenhoe End Village Hall,"Duddenhoe End, Saffron Walden  CB11 4UU",52.009512,0.124250
AMC,"Littlebury, Chesterford & Wenden Lofts",Elmdon,Saffron Walden,Elmdon and Wenden Lofts Elmdon Village ward,Elmdon Village Hall,"Essex Hill, Elmdon, Saffron Walden CB11 4NL",52.035739,0.128776
AMD,"Littlebury, Chesterford & Wenden Lofts",Great Chesterford,Saffron Walden,Great Chesterford,Great Chesterford Community Centre,"Newmarket Road, Great Chesterford, Saffron Walden CB10 1NS",52.067495,0.194884
AME1,"Littlebury, Chesterford & Wenden Lofts",Littlebury Green & Strethall (part in Littlebury parish),Saffron Walden,Littlebury,St Peter’s Church Vestry,"Littlebury Green, Saffron Walden  CB11 4XB",52.024807,0.170607
AME2,"Littlebury, Chesterford & Wenden Lofts",Littlebury Green & Strethall (part in Littlebury parish),Saffron Walden,Strethall (parish meeting only),St Peter’s Church Vestry,"Littlebury Green, Saffron Walden  CB11 4XB",52.024807,0.170607
AMF,"Littlebury, Chesterford & Wenden Lofts",Littlebury Village,Saffron Walden,Littlebury,Littlebury Village Hall,"Walden Road, Littlebury, Saffron Walden CB11 4TA",52.03461,0.211570
AMG,"Littlebury, Chesterford & Wenden Lofts",Little Chesterford,Saffron Walden,Little Chesterford,Little Chesterford Village Hall,"High Street, Little Chesterford, Saffron Walden CB10 1TT",52.05359,0.208850
AMH,"Littlebury, Chesterford & Wenden Lofts",Wendens Ambo,Saffron Walden,Wendens Ambo,Wendens Ambo Village Hall,"Royston Road, Wendens Ambo, Saffron Walden CB11 4JX",52.00602,0.203120
ANA,Newport,Newport,Stansted,Newport,Newport Village Hall,"Station Road, Newport, Saffron Walden CB11 3PL",51.97996,0.213830
ANB,Newport,Quendon & Rickling,Stansted,Quendon and Rickling,Quendon and Rickling Village Hall,"Cambridge Road, Quendon, Saffron Walden CB11 3XQ",51.94903,0.199810
ANC,Newport,Widdington,Stansted,Widdington,Widdington Village Hall,"High Street, Widdington, Saffron Walden CB11 3SG",51.96205,0.237870
AOA,Saffron Walden Audley,Audley North,Saffron Walden,Saffron Walden Audley ward,"Committee Room, Town Hall","Rear Entrance, Off Market Row, Saffron Walden CB10 1HE",52.02342,0.241440
AOB,Saffron Walden Audley,Audley South,Saffron Walden,Saffron Walden Audley ward,"The Assembly Hall, Friends’ School","Mount Pleasant Road, Saffron Walden CB11 3EB",52.01686,0.243270
APA,Saffron Walden Castle,Castle East,Saffron Walden,Saffron Walden Castle ward,Mobile polling unit,"Homebase Car Park, Elizabeth Way, Saffron Walden CB10 2BL",52.02571,0.256010
APB,Saffron Walden Castle,Castle West,Saffron Walden,Saffron Walden Castle ward,The School Hall,"St Marys Primary School, Castle Street, Saffron Walden CB10 1BQ",52.02615,0.241240
AQA,Saffron Walden Shire,Shire North,Saffron Walden,Saffron Walden Shire ward,The School Hall ,"R A Butler Academy, South Road, Saffron Walden CB11 3DG",52.019897,0.245002
AQB,Saffron Walden Shire,Shire South,Saffron Walden,Saffron Walden Shire ward,The School Hall,"Katherine Semar School, Ross Close, Saffron Walden CB11 4DU",52.00944,0.247020
ARA,Stansted North,Stansted East,Stansted,Stansted Mountfitchet North ward,St John’s Church Hall,"St Johns Road, Stansted CM24 8JP",51.90334,0.197480
ARB,Stansted North,Stansted West,Stansted,Stansted Mountfitchet North ward,Bentfield Primary School,"Rainsford Road, Stansted CM24 8DX",51.91024,0.195410
ASA,Stansted South & Birchanger,Birchanger,Stansted,Birchanger,St Mary’s Church Hall,"207 Birchanger Lane, Birchanger, Bishop’s Stortford CM23 5QJ",51.88381,0.188940
ASB,Stansted South & Birchanger,Stansted South,Stansted,Stansted Mountfitchet South ward,The School Hall,"St Marys C of E Foundation Primary School, Hampton Road, Stansted CM24 8FE",51.89569,0.197890
ATA,Stort Valley,Berden,Stansted,Berden,Berden Village Hall,"Berden, Bishop’s Stortford CM23 1AE",51.947583,0.135494
ATB,Stort Valley,Farnham,Stansted,Farnham,Farnham Village Hall,"Rectory Lane, Farnham, Bishop’s Stortford CM23 1HU",51.90249,0.141790
ATC,Stort Valley,Manuden,Stansted,Manuden,Manuden Village Community Centre,"David Collins Drive, Manuden, Bishop’s Stortford CM23 1EH",51.92475,0.160610
ATD,Stort Valley,Ugley,Stansted,Ugley,Ugley Village Hall,"Cambridge Road, Ugley CM22 6HR",51.923274,0.202096
AUA1,Takeley,Broxted & Chickney (part in the parish of Broxted),Thaxted,Broxted,Broxted Village Hall,"Browns End Road, Broxted, Dunmow CM6 2BE",51.908541,0.286094
AUA2,Takeley,Broxted & Chickney (part in the parish of Broxted),Stansted,Chickney (parish meeting only),Broxted Village Hall,"Browns End Road, Broxted, Dunmow CM6 2BE",51.908541,0.286094
AUB,Takeley,Little Canfield,Dunmow,Little Canfield,Little Canfield Village Hall,"Stortford Road, Little Canfield, Dunmow CM6 1SW",51.86818,0.307460
AUC,Takeley,Mole Hill Green,Dunmow,Takeley,Mole Hill Green Village Hall,"Mole Hill Green, Takeley, Bishop’s Stortford CM22 6PH",51.89948,0.272760
AUD,Takeley,Takeley Priors Green,Dunmow,Takeley,The Priors Green Community Centre,"Bennet Canfield, Little Canfield, Dunmow CM6 1YE",51.8688328,0.279573
AUE,Takeley,Takeley Village,Dunmow,Takeley,The Silver Jubilee Hall,"Brewers End, Dunmow Road, Takeley, Bishop’s Stortford CM22 6QJ",51.868629,0.262705
AVA,Thaxted & the Eastons,Duton Hill,Thaxted,Great Easton and Tilty – Duton Hill ward,The Three Horseshoes Public House,"Three Horseshoes Public House, Duton Hill, Dunmow CM6 2DX",51.91700,0.331930
AVB1,Thaxted & the Eastons,Great Easton & Tilty (part of the parish of Great Easton) ,Thaxted,Great Easton and Tilty – Village ward,Great Easton Village Hall,"Rebecca Meade, Great Easton, Dunmow CM6 2HE",51.90524,0.335280
